Branch,Count
1G,2693
1H,445
AD ARTIFICIAL,2734
AE,1001
AERONAUTICAL ENGINEERING,1514
AM,130
AR,22
ARTIFICIAL INTELLIGENCE,11176
ARTIFICIAL INTELLIGENCE & MACHINE LEARNING,28
AU,298
AUTOMOBILE ENGINEERING,859
BA,20
BB,182
BC,18
BC COMPUTER,15
BG,20
BH,25
BI INFORMATION,36
BIOTECHNOLOGY,696
BJ,115
BL,45
BM,270
BN,54
BO,61
BP,12
BQ,68
BS,2
BS B SC (HONOURS),32
BU,72
BV,44
BW,195
BX,82
BY,49
BZ,77
CB,47
CB COMP SC AND,1212
CC COMPUTER AND,182
CD,90
CD COMPUTER SC,1400
CG COMPUTER,120
CH,274
CHEMICAL ENGINEERING,1301
CI COMPUTER AND,78
CIVIL ENGINEERING,25526
CL,36
CM,15
CN,32
CO COMPUTER,312
COMPUTER SCIENCE AND ENGINEERING,54064
CQ,46
CR,14
CU,74
CW,15
CX,43
CZ,48
DATA SCIENCE,3559
DB,97
DD,11
DE,8
DG DESIGN,4
DG DG,8
DH,56
DI,10
DK,32
DL,18
DM,47
DN,22
EA AGRICULTURE,192
EB EAT,48
EG ENERGY,5
ELECTRICAL AND ELECTRONICS ENGINEERING,5646
ELECTRONICS AND COMMUNICATION ENGINEERING,28746
EN,49
"IC IOT, CYBER",3
IE,6165
IG INFORMATION,117
IM IND ENGG,1302
INFORMATION TECHNOLOGY,197
IP,422
IP IND PRODN,245
IS INFORMATION SC,56
IZ INFORMATION,6
LA B PLAN,3
LD,1
LE,2
MD,104
MECHANICAL ENGINEERING,12844
MI MINING,2
MN,12
MN MINING,48
MR MARINE,139
MS MANUFACTURING,17
MT,43
OP COMP SC ENGG-,40
OP COMP SC ENGG- --,12
OT,2
OT INDUSTRIAL IOT,16
PE,7
PL PETROLEUM,41
PT,38
RI,25
ST,132
TC,356
TI INDUSTRIAL IOT,14
TX,197
TX TEXTILES,67
UP PLANNING,32
UP URBAN AND,4
UR URBAN AND,6
YA B TEHIN,17
ZC,3
ZW,12
